"","Year","State","type","production","Measures","Materials","Chemical","Value"
"1",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE","5,500"
"2",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","FUNGICIDE","(NA)"
"3",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
"4",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BACILLUS PUMILUS = 6485)","FUNGICIDE","(NA)"
"5",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BACILLUS SUBT. GB03 = 129068)","FUNGICIDE","(NA)"
"6",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"7",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BLAD = 30006)","FUNGICIDE","1,200"
"8",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","300"
"9",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BOSCALID = 128008)","FUNGICIDE","6,200"
"10",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","FUNGICIDE","(NA)"
"11",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE","283,500"
"12",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"13",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
"14",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CYFLUFENAMID = 555550)","FUNGICIDE","400"
"15",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE","16,600"
"16",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(DIFENOCONAZOLE = 128847)","FUNGICIDE","900"
"17",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE","15,000"
"18",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE","11,100"
"19",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FLUOPYRAM = 80302)","FUNGICIDE","3,900"
"20",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE","3,900"
"21",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FOSETYL-AL = 123301)","FUNGICIDE","34,200"
"22",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"23",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE","9,300"
"24",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"25",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE","5,600"
"26",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PENTHIOPYRAD = 90112)","FUNGICIDE","7,000"
"27",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","1,400"
"28",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","11,300"
"29",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PROPICONAZOLE = 122101)","FUNGICIDE","1,600"
"30",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE","7,400"
"31",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE","9,300"
"32",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(QUINOLINE = 55459)","FUNGICIDE","4,800"
"33",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE","(NA)"
"34",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE","686,000"
"35",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TETRACONAZOLE = 120603)","FUNGICIDE","600"
"36",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","3,300"
"37",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(THIRAM = 79801)","FUNGICIDE","90,900"
"38",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TOTAL)","FUNGICIDE","1,233,500"
"39",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TRICHODERMA HARZ. = 119202)","FUNGICIDE","(NA)"
"40",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","4,200"
"41",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE","7,200"
"42",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","200"
"43",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(FLUMIOXAZIN = 129034)","HERBICIDE","1,100"
"44",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(GLUFOSINATE-AMMONIUM = 128850)","HERBICIDE","(D)"
"45",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"46",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
"47",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(NAPROPAMIDE = 103001)","HERBICIDE","(D)"
"48",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(OXYFLUORFEN = 111601)","HERBICIDE","1,300"
"49",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PARAQUAT = 61601)","HERBICIDE","(D)"
"50",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(PENDIMETHALIN = 108501)","HERBICIDE","5,500"
"51",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(SULFENTRAZONE = 129081)","HERBICIDE","(D)"
"52",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(TOTAL)","HERBICIDE","10,200"
"53",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE","500"
"54",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(ACEQUINOCYL = 6329)","INSECTICIDE","5,400"
"55",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE","2,800"
"56",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(AZADIRACHTIN = 121701)","INSECTICIDE","800"
"57",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BEAUVERIA BASSIANA = 128924)","INSECTICIDE","(NA)"
"58",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE","17,900"
"59",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE","7,300"
"60",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE","(NA)"
"61",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
"62",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE","(NA)"
"63",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BT SUB AIZAWAI GC-91 = 6426)","INSECTICIDE","(NA)"
"64",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BUPROFEZIN = 275100)","INSECTICIDE","(D)"
"65",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)","INSECTICIDE","(NA)"
"66",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CARBARYL = 56801)","INSECTICIDE","(D)"
"67",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","1,900"
"68",2019,"CALIFORNIA","BEARING","APPLICATIONS","MEASURED IN LB","(CHLORPYRIFOS = 59101)","INSECTICIDE","(D)"
